pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
2,,3,,,1000780003,,1000780002,5,3,3,,0,0,1,0,1,2,,,,,1,,,3,10,,,10007800,72,,0,0,0,350,0,0,1,,41,,,11,,6,0,3,0,2649.37,2,2,0,1,0,6400,1,3276.81,1,0,187.4,9120.04,2,1,205.28981,0,0,,,1,0,2,0,0,1,2308.42,0,70,58,2892.28
2,,,,,1000800001,,1000800002,2,1,,3,0,0,1,0,1,2,,20,1,,2,,21,1,10,40,,10008000,,22,0,0,0,600,0,0,1,,,,86,12,2,0,0,1,0,0,3,1,0,1,0,40144.34,1,0,1,0,1182.24,66461.23,2,2,104.39074,0,0,39,,1,0,2,0,0,0,1016.31,0,71,60,1234.81
2,,,,,1000800002,,1000800001,,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,10,40,,10008000,,13,0,0,0,450,0,0,1,,,,84,12,2,0,0,1,0,0,3,1,0,1,2222.48,13919.53,1,0,1,2516,322.08,22212.66,2,1,104.39074,0,0,40,,1,0,2,0,0,0,0,0,72,62,0
5,,3,,,1000820001,,,,2,3,,0,0,1,0,2,,,,,1000820002,2,,,3,10,,,10008200,93,,0,0,0,200,0,0,1,,41,,,0,,48,0,2,0,0,3,2,0,2,0,0,3,0,1,0,0,0,2,1,168.85932,0,0,12,,1,0,,0,0,12,0,0,73,37,0
4,,,,,1000820002,,,3,1,,3,0,0,1,0,2,,,,2,,2,,11,3,10,15,,10008200,,91,0,418.68,0,600,0,6512.76,1,,,,71,0,2,11,12,1,0,0,3,1,0,2,0,3801.52,3,0,1,0,83.59,4722.39,2,2,168.85932,0,0,44,,1,0,2,0,0,0,0,0,74,64,0
2,,3,,,1000830001,,1000830002,3,1,3,,0,0,1,0,1,,,,,,1,,,1,10,,,10008300,23,,0,0,0,700,0,8680.44,1,,85,,,0,,0,0,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0,2,2,86.54931,0,0,42,,1,12,2,0,0,0,0,0,75,70,0
2,,3,,,1000830002,,1000830001,3,1,3,,0,0,1,0,1,2,,,,,1,,,1,10,,,10008300,23,,0,0,0,800,0,15194.58,1,,,,,0,,,0,1,0,0,3,3,0,1,0,0,1,0,1,0,0,0,2,1,86.54931,0,0,52,,1,12,2,0,0,0,0,0,76,77,0
4,,3,,,1000890001,,,4,1,3,,0,0,1,0,3,,,,,,1,,,1,10,,,10008900,26,,0,593.36,0,700,0,9685.2,1,,,,,0,,,0,1,0,0,1,3,0,2,0,0,3,0,1,0,0,0,2,2,82.92194,0,0,35,,1,12,2,0,0,0,0,0,77,84,0
4,,,,,1000930001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,10,40,,10009300,,52,0,0,0,450,431.85,0,1,,,,85,12,2,0,0,1,0,0,3,1,0,2,0,9990.06,3,0,1,0,254.79,14595.47,2,2,61.14551,0,0,,,1,0,2,0,0,0,0,0,78,52,0
2,,3,,,1000940002,,1000940003,3,1,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10009400,11,,0,0,0,700,0,11982.48,1,,,,,0,,,0,1,0,0,2,3,0,1,0,0,1,0,1,0,0,0,2,1,27.93474,0,0,44,,1,12,2,0,0,0,0,0,79,91,0
